PlayerId	PlayerData	DateBirthday	StartDate	EndDate	Description	TeamName
56864	F. Coquelin	1991-05-13 00:00:00.000	2013-01-21 00:00:00.000	2013-02-07 00:00:00.000	Muscle fibre	ARSL
15943	T. Vermaelen	1985-11-14 00:00:00.000	2013-01-24 00:00:00.000	2013-01-28 00:00:00.000	Malleolar injury	ARSL
41270	David Luiz	1987-04-22 00:00:00.000	2013-01-25 00:00:00.000	2013-02-07 00:00:00.000	Calf Injury	CFC
363	P. Scholes	1974-11-16 00:00:00.000	2013-01-26 00:00:00.000	2013-05-01 00:00:00.000	Knee injury	MANU
42427	K. Gibbs	1989-09-26 00:00:00.000	2013-01-30 00:00:00.000	2013-03-11 00:00:00.000	Thigh Muscle Strain	ARSL
15943	T. Vermaelen	1985-11-14 00:00:00.000	2013-01-31 00:00:00.000	2013-02-14 00:00:00.000	Malleolar injury	ARSL
1718	J. Terry	1980-12-07 00:00:00.000	2013-02-04 00:00:00.000	2013-02-11 00:00:00.000	Knee injury	CFC
NULL	N. Anelka	1979-03-14 00:00:00.000	2013-02-04 00:00:00.000	2013-02-07 00:00:00.000	Infection	CFC
51507	L. Koscielny	1985-09-10 00:00:00.000	2013-02-04 00:00:00.000	2013-02-14 00:00:00.000	Calf Problems	ARSL
11334	P. Čech	1982-05-20 00:00:00.000	2013-02-04 00:00:00.000	2013-02-07 00:00:00.000	Fractured Finger	CFC
76359	P. Jones	1992-02-21 00:00:00.000	2013-02-18 00:00:00.000	2013-04-01 00:00:00.000	Malleolar injury	MANU
37748	B. Sagna	1983-02-14 00:00:00.000	2013-02-19 00:00:00.000	2013-03-29 00:00:00.000	Knee injury	ARSL
28566	A. Diaby	1986-05-11 00:00:00.000	2013-02-23 00:00:00.000	2013-03-13 00:00:00.000	Calf Problems	ARSL
38530	Nani	1986-11-17 00:00:00.000	2013-03-10 00:00:00.000	2013-03-30 00:00:00.000	Hamstring Injury	MANU
54102	J. Wilshere	1992-01-01 00:00:00.000	2013-03-11 00:00:00.000	2013-04-10 00:00:00.000	Malleolar injury	ARSL
19419	G. Cahill	1985-12-19 00:00:00.000	2013-03-18 00:00:00.000	2013-04-24 00:00:00.000	Knee-OP	CFC
28566	A. Diaby	1986-05-11 00:00:00.000	2013-03-27 00:00:00.000	2014-04-22 00:00:00.000	Cruciate Ligament Rupture	ARSL
13017	W. Rooney	1985-10-24 00:00:00.000	2013-03-28 00:00:00.000	2013-04-08 00:00:00.000	groin strain	MANU
3785	A. Cole	1980-12-20 00:00:00.000	2013-04-01 00:00:00.000	2013-04-24 00:00:00.000	Hamstring Injury	CFC
NULL	N. Anelka	1979-03-14 00:00:00.000	2013-04-04 00:00:00.000	2013-04-08 00:00:00.000	Back trouble	CFC
18892	A. Young	1985-07-09 00:00:00.000	2013-04-08 00:00:00.000	2013-08-19 00:00:00.000	Malleolar injury	MANU
37096	L. Fabianski	1985-04-18 00:00:00.000	2013-04-14 00:00:00.000	2013-05-10 00:00:00.000	Fractured Rib	ARSL
40146	R. Bertrand	1989-08-05 00:00:00.000	2013-05-02 00:00:00.000	2013-07-01 00:00:00.000	Knee injury	CFC
42786	E. Hazard	1991-01-07 00:00:00.000	2013-05-13 00:00:00.000	2013-05-30 00:00:00.000	Hamstring Injury	CFC
27697	N. Bendtner	1988-01-16 00:00:00.000	2013-05-20 00:00:00.000	2013-07-18 00:00:00.000	Broken wrist	ARSL
15943	T. Vermaelen	1985-11-14 00:00:00.000	2013-07-11 00:00:00.000	2013-09-12 00:00:00.000	Fatigue fracture	ARSL
84482	T. Kalas	1993-05-15 00:00:00.000	2013-07-30 00:00:00.000	2013-10-01 00:00:00.000	Fracture of the fibula	CFC
38411	Nacho Monreal	1986-02-26 00:00:00.000	2013-08-01 00:00:00.000	2013-08-19 00:00:00.000	Back trouble	ARSL
43020	J. Hernández 	1988-06-01 00:00:00.000	2013-08-05 00:00:00.000	2013-08-29 00:00:00.000	Hamstring Injury	MANU
38530	Nani	1986-11-17 00:00:00.000	2013-08-06 00:00:00.000	2013-08-30 00:00:00.000	Groin Injury	MANU
92372	Ryo Miyaichi	1992-12-14 00:00:00.000	2013-08-10 00:00:00.000	2013-08-20 00:00:00.000	Rib bruise	ARSL
8758	Mikel Arteta	1982-03-26 00:00:00.000	2013-08-10 00:00:00.000	2013-09-20 00:00:00.000	Hamstring Injury	ARSL
54772	Rafael	1990-07-09 00:00:00.000	2013-08-12 00:00:00.000	2013-09-09 00:00:00.000	Hamstring Injury	MANU
NULL	N. Anelka	1979-03-14 00:00:00.000	2013-08-19 00:00:00.000	2013-08-22 00:00:00.000	Gastric problems	CFC
81880	A. Oxlade-Chamberlain	1993-08-15 00:00:00.000	2013-08-19 00:00:00.000	2014-01-06 00:00:00.000	Knee injury	ARSL
17733	L. Podolski	1985-06-04 00:00:00.000	2013-08-26 00:00:00.000	2013-12-09 00:00:00.000	Torn muscle bundle	ARSL
80711	Y. Sanogo	1993-01-27 00:00:00.000	2013-09-05 00:00:00.000	2014-02-10 00:00:00.000	Back Injury	ARSL
8597	T. Rosický	1980-10-04 00:00:00.000	2013-09-09 00:00:00.000	2013-09-30 00:00:00.000	Knee injury	ARSL
19524	Cazorla	1984-12-13 00:00:00.000	2013-09-12 00:00:00.000	2013-10-17 00:00:00.000	Malleolar injury	ARSL
20467	T. Walcott	1989-03-16 00:00:00.000	2013-09-23 00:00:00.000	2013-11-21 00:00:00.000	Abdominal muscles injury	ARSL
82660	M. van Ginkel	1992-12-01 00:00:00.000	2013-09-24 00:00:00.000	2014-03-20 00:00:00.000	Cruciate Ligament Rupture	CFC
14402	Fernando Torres	1984-03-20 00:00:00.000	2013-09-30 00:00:00.000	2013-10-17 00:00:00.000	Medial collateral ligament injury	CFC
37748	B. Sagna	1983-02-14 00:00:00.000	2013-10-05 00:00:00.000	2013-10-18 00:00:00.000	Hamstring Injury	ARSL
3785	A. Cole	1980-12-20 00:00:00.000	2013-10-06 00:00:00.000	2013-10-25 00:00:00.000	Rib bruise	CFC
27697	N. Bendtner	1988-01-16 00:00:00.000	2013-10-10 00:00:00.000	2013-10-17 00:00:00.000	Knee injury	ARSL
18155	M. Flamini	1984-03-07 00:00:00.000	2013-10-21 00:00:00.000	2013-10-24 00:00:00.000	Concussion	ARSL
18155	M. Flamini	1984-03-07 00:00:00.000	2013-10-28 00:00:00.000	2013-11-07 00:00:00.000	groin strain	ARSL
133798	S. Gnabry	1995-07-14 00:00:00.000	2013-10-31 00:00:00.000	2013-11-04 00:00:00.000	Sprained Ankle	ARSL
54102	J. Wilshere	1992-01-01 00:00:00.000	2013-11-02 00:00:00.000	2013-11-08 00:00:00.000	Sprained Ankle	ARSL
14402	Fernando Torres	1984-03-20 00:00:00.000	2013-11-04 00:00:00.000	2013-11-25 00:00:00.000	Hamstring Injury	CFC
12297	R. Van Persie	1983-08-06 00:00:00.000	2013-11-11 00:00:00.000	2013-12-05 00:00:00.000	groin strain	MANU
2404	M. Carrick	1981-07-28 00:00:00.000	2013-11-14 00:00:00.000	2013-12-23 00:00:00.000	Achilles tendon problems	MANU
92372	Ryo Miyaichi	1992-12-14 00:00:00.000	2013-11-19 00:00:00.000	2013-12-10 00:00:00.000	Hamstring Injury	ARSL
41270	David Luiz	1987-04-22 00:00:00.000	2013-11-22 00:00:00.000	2013-12-10 00:00:00.000	Knee injury	CFC
8438	S. Eto'o	1981-03-10 00:00:00.000	2013-11-27 00:00:00.000	2013-12-05 00:00:00.000	Groin Injury	CFC
55909	C. Smalling	1989-11-22 00:00:00.000	2013-12-05 00:00:00.000	2013-12-16 00:00:00.000	Hamstring Injury	MANU
41184	M. Fellaini	1987-11-22 00:00:00.000	2013-12-05 00:00:00.000	2013-12-19 00:00:00.000	Back Injury	MANU
12297	R. Van Persie	1983-08-06 00:00:00.000	2013-12-12 00:00:00.000	2014-01-23 00:00:00.000	Hamstring Injury	MANU
51507	L. Koscielny	1985-09-10 00:00:00.000	2013-12-16 00:00:00.000	2013-12-30 00:00:00.000	Knee injury	ARSL
