"","Player","PlayerBirthdate","Competition","Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Team","StartingPosition","EnterMinute","ExitMinute","PlayerID","PlayerFirstName","PlayerSurname","PlayerNationality","PlayerBirthCountry","RestPeriod","Rest","PlayerId","StartDate","EndDate","Description","TeamName","InjuryType","Duration","PriorInjury","Occurrence"
"42","L. Koscielny",1985-09-10,"EnglandPremierLeague",2012-11-17,"Arsenal","Tottenham Hotspur",5,2,"Arsenal","D2-CL","0","",37785,"Laurent","Koscielny","France","France",7,"Long Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"43","L. Koscielny",1985-09-10,"UEFAChampionsLeague",2012-11-21,"Arsenal","Montpellier",2,0,"Arsenal","D1-CL","0","",37785,"Laurent","Koscielny","France","France",4,"Short Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"44","L. Koscielny",1985-09-10,"EnglandPremierLeague",2012-11-24,"Aston Villa","Arsenal",0,0,"Arsenal","D2-CL","0","",37785,"Laurent","Koscielny","France","France",3,"Short Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"45","L. Koscielny",1985-09-10,"EnglandPremierLeague",2012-11-28,"Everton","Arsenal",1,1,"Arsenal","D1-CL","0","4",37785,"Laurent","Koscielny","France","France",4,"Short Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"46","L. Koscielny",1985-09-10,"EnglandPremierLeague",2013-12-29,"Newcastle United","Arsenal",0,1,"Arsenal","D1-CL","0","",37785,"Laurent","Koscielny","France","France",15,"Long Rest","51507",2013-12-16,2013-12-30,"Knee injury","ARSL","Soft Injury",14,"Yes","Previous Match"
"47","L. Koscielny",1985-09-10,"EnglandPremierLeague",2014-12-06,"Stoke City","Arsenal",3,2,"Arsenal","","","",37785,"Laurent","Koscielny","France","France",3,"Short Rest","51507",2014-12-04,2014-12-29,"Calf Injury","ARSL","Soft Injury",25,"Yes","Previous Match"
"48","L. Koscielny",1985-09-10,"EnglandPremierLeague",2014-12-28,"West Ham United","Arsenal",1,2,"Arsenal","D1-CL","0","",37785,"Laurent","Koscielny","France","France",22,"Long Rest","51507",2014-12-04,2014-12-29,"Calf Injury","ARSL","Soft Injury",25,"Yes","Previous Match"
"49","L. Podolski",1985-06-04,"UEFAChampionsLeague",2013-08-27,"Arsenal","Fenerbahçe",2,0,"Arsenal","AM-L","0","49",2053,"Lukas","Podolski","Germany","Poland",3,"Short Rest","17733",2013-08-26,2013-12-09,"Torn muscle bundle","ARSL","Soft Injury",105,"Yes","Previous Match"
"50","L. Rémy",1987-01-02,"UEFAChampionsLeague",2014-10-21,"Chelsea","Maribor",6,0,"Chelsea","A-C","0","16",4572,"Loïc","Rémy","France","France",3,"Short Rest","38419",2014-10-21,2014-11-22,"Groin Injury","CFC","Soft Injury",32,"No"," Current Match"
"51","L. Rémy",1987-01-02,"EnglandPremierLeague",2014-11-08,"Liverpool","Chelsea",1,2,"Chelsea","","","",4572,"Loïc","Rémy","France","France",18,"Long Rest","38419",2014-10-21,2014-11-22,"Groin Injury","CFC","Soft Injury",32,"Yes","Previous Match"
"52","L. Rémy",1987-01-02,"EnglandPremierLeague",2014-11-22,"Chelsea","West Bromwich &hellip;",2,0,"Chelsea","","79","",4572,"Loïc","Rémy","France","France",14,"Long Rest","38419",2014-10-21,2014-11-22,"Groin Injury","CFC","Soft Injury",32,"Yes","Previous Match"
"53","L. Rémy",1987-01-02,"EnglandPremierLeague",2015-05-03,"Chelsea","Crystal Palace",1,0,"Chelsea","","","",4572,"Loïc","Rémy","France","France",29,"Long Rest","38419",2015-04-11,2015-05-03,"Calf Problems","CFC","Soft Injury",22,"Yes","Previous Match"
"54","L. Shaw",1995-07-12,"EnglandPremierLeague",2014-12-28,"Tottenham Hotspur","Manchester United",0,0,"Manchester United","","76","",209805,"Luke","Shaw","England","England",36,"Long Rest","106760",2014-11-24,2015-01-01,"Malleolar injury","MANU","Contact Injury",38,"Yes","Previous Match"
"55","L. Shaw",1995-07-12,"EnglandPremierLeague",2015-01-01,"Stoke City","Manchester United",1,1,"Manchester United","M-L","0","64",209805,"Luke","Shaw","England","England",4,"Short Rest","106760",2014-11-24,2015-01-01,"Malleolar injury","MANU","Contact Injury",38,"Yes","Previous Match"
"56","Nacho Monreal",1986-02-26,"EnglandPremierLeague",2014-12-21,"Liverpool","Arsenal",2,2,"Arsenal","","90+4","",3469,"Ignacio","Monreal Eraso","Spain","Spain",18,"Long Rest","38411",2014-12-04,2014-12-22,"Malleolar injury","ARSL","Contact Injury",18,"Yes","Previous Match"
"57","Nani",1986-11-17,"UEFAChampionsLeague",2012-11-07,"Sporting Braga","Manchester United",1,3,"Manchester United","M-CR","0","73",4647,"Luís Carlos","Almeida da Cunha","Portugal","Cape Verde Islands",4,"Short Rest","38530",2012-11-07,2013-01-15,"Hamstring Injury","MANU","Soft Injury",69,"No"," Current Match"
"58","Nani",1986-11-17,"EnglandPremierLeague",2013-03-30,"Sunderland","Manchester United",0,1,"Manchester United","","","",4647,"Luís Carlos","Almeida da Cunha","Portugal","Cape Verde Islands",25,"Long Rest","38530",2013-03-10,2013-03-30,"Hamstring Injury","MANU","Soft Injury",20,"Yes","Previous Match"
"59","O. Giroud",1986-09-30,"EnglandPremierLeague",2012-12-08,"Arsenal","West Bromwich &hellip;",2,0,"Arsenal","A-C","0","",59504,"Olivier","Giroud","France","France",7,"Long Rest","44346",2012-12-08,2012-12-14,"Back trouble","ARSL","Soft Injury",6,"No"," Current Match"
"60","Oriol Romeu",1991-09-24,"EnglandPremierLeague",2012-12-08,"Sunderland","Chelsea",1,3,"Chelsea","DM-CL","0","20",97045,"Oriol","Romeu Vidal","Spain","Spain",3,"Short Rest","78056",2012-12-08,2013-05-01,"Knee injury","CFC","Soft Injury",144,"No"," Current Match"
"61","P. Jones",1992-02-21,"EnglandPremierLeague",2014-05-06,"Manchester United","Hull City",3,1,"Manchester United","D1-CR","0","22",97299,"Phil","Jones","England","England",3,"Short Rest","76359",2014-05-05,2014-06-23,"Shoulder injury","MANU","Soft Injury",49,"Yes","Previous Match"
"62","P. McNair",1995-04-27,"EnglandPremierLeague",2014-10-05,"Manchester United","Everton",2,1,"Manchester United","D1-CR","0","",215920,"Paddy","McNair","Northern Ireland","Northern Ireland",8,"Long Rest","160817",2014-10-05,2014-10-26,"Hamstring Injury","MANU","Soft Injury",21,"No"," Current Match"
"63","P. Čech",1982-05-20,"EnglandPremierLeague",2015-05-24,"Chelsea","Sunderland",3,1,"Chelsea","GK-C","0","",237,"Petr","Čech","Czech Republic","Czech Republic",21,"Long Rest","11334",2015-05-11,2015-05-25,"Neck Injury","CFC","Soft Injury",14,"Yes","Previous Match"
"64","R. Bertrand",1989-08-05,"EnglandPremierLeague",2013-01-02,"Chelsea","Queens Park Ra&hellip;",0,1,"Chelsea","D1-L","0","",21046,"Ryan","Bertrand","England","England",25,"Long Rest","40146",2012-12-19,2013-01-02,"Groin Injury","CFC","Soft Injury",14,"Yes","Previous Match"
"65","T. Vermaelen",1985-11-14,"EnglandPremierLeague",2014-01-28,"Southampton","Arsenal",2,2,"Arsenal","","","",2181,"Thomas","Vermaelen","Belgium","Belgium",27,"Long Rest","15943",2014-01-06,2014-02-27,"Knee Problems","ARSL","Soft Injury",52,"Yes","Previous Match"
"66","W. Rooney",1985-10-24,"EnglandPremierLeague",2013-04-08,"Manchester United","Manchester City",1,2,"Manchester United","AM-CR","0","85",193,"Wayne","Rooney","England","England",23,"Long Rest","13017",2013-03-28,2013-04-08,"groin strain","MANU","Soft Injury",11,"Yes","Previous Match"
"67","W. Rooney",1985-10-24,"EnglandPremierLeague",2015-05-24,"Hull City","Manchester United",0,0,"Manchester United","A-C","0","",193,"Wayne","Rooney","England","England",15,"Long Rest","13017",2015-05-11,2015-05-25,"thigh knock","MANU","Soft Injury",14,"Yes","Previous Match"
